uid,eprintid,datestamp,value,count
9476569,42560,20230601,views,1
9476570,35355,20230601,views,1
9476571,32906,20230601,views,1
9476572,40716,20230601,views,1
9476573,8726,20230601,views,1
9476574,44688,20230601,views,1
9476575,24224,20230601,views,4
9476576,23263,20230601,views,1
9476577,37188,20230601,views,2
9476578,25576,20230601,views,1
9476579,7009,20230601,views,1
9476580,41571,20230601,views,1
9476581,40144,20230601,views,1
9476582,43912,20230601,views,1
9476583,44682,20230601,views,1
9476584,42803,20230601,views,3
9476585,7965,20230601,views,1
9476586,44345,20230601,views,1
9476587,40031,20230601,views,1
9476588,13092,20230601,views,1
9476589,34305,20230601,views,1
9476590,43039,20230601,views,1
9476591,42036,20230601,views,1
9476592,37312,20230601,views,2
9476593,38682,20230601,views,1
9476594,31016,20230601,views,1
9476595,44187,20230601,views,2
9476596,41201,20230601,views,1
9476597,40619,20230601,views,1
9476598,43436,20230601,views,3
9476599,26440,20230601,views,1
9476600,42898,20230601,views,1
9476601,34954,20230601,views,3
9476602,35031,20230601,views,1
9476603,4827,20230601,views,2
9476604,21882,20230601,views,1
9476605,39236,20230601,views,1
9476606,44757,20230601,views,1
9476607,7836,20230601,views,2
9476608,6723,20230601,views,1
9476609,40503,20230601,views,1
9476610,6762,20230601,views,1
9476611,43936,20230601,views,1
9476612,10527,20230601,views,2
9476613,39001,20230601,views,1
9476614,40373,20230601,views,1
9476615,41026,20230601,views,2
9476616,43305,20230601,views,1
9476617,9197,20230601,views,1
9476618,38010,20230601,views,1
9476619,40181,20230601,views,2
9476620,44068,20230601,views,1
9476621,9815,20230601,views,2
9476622,44444,20230601,views,1
9476623,22869,20230601,views,1
9476624,44811,20230601,views,1
9476625,14398,20230601,views,1
9476626,30918,20230601,views,1
9476627,21503,20230601,views,1
9476628,44411,20230601,views,1
9476629,26091,20230601,views,1
9476630,7639,20230601,views,1
9476631,7052,20230601,views,1
9476632,7551,20230601,views,1
9476633,44048,20230601,views,1
9476634,42311,20230601,views,1
9476635,11115,20230601,views,1
9476636,29435,20230601,views,1
9476637,7678,20230601,views,1
9476638,28328,20230601,views,1
9476639,29748,20230601,views,1
9476640,6401,20230601,views,1
9476641,6939,20230601,views,2
9476642,4914,20230601,views,1
9476643,8612,20230601,views,1
9476644,20769,20230601,views,1
9476645,42298,20230601,views,1
9476646,44146,20230601,views,1
9476647,10303,20230601,views,2
9476648,42397,20230601,views,1
9476649,43232,20230601,views,3
9476650,42487,20230601,views,1
9476651,4109,20230601,views,1
9476652,39808,20230601,views,1
9476653,37210,20230601,views,1
9476654,38639,20230601,views,3
9476655,33837,20230601,views,1
9476656,25116,20230601,views,1
9476657,7132,20230601,views,1
9476658,7251,20230601,views,1
9476659,44708,20230601,views,2
9476660,40074,20230601,views,1
9476661,7806,20230601,views,1
9476662,43516,20230601,views,1
9476663,7840,20230601,views,3
9476664,44522,20230601,views,1
9476665,4104,20230601,views,1
9476666,35762,20230601,views,1
9476667,44756,20230601,views,1
9476668,42658,20230601,views,2
9476669,10083,20230601,views,1
9476670,22261,20230601,views,1
9476671,44699,20230601,views,1
9476672,29214,20230601,views,1
9476673,44835,20230601,views,1
9476674,44495,20230601,views,1
9476675,18720,20230601,views,1
9476676,41669,20230601,views,1
9476677,39242,20230601,views,1
9476678,43023,20230601,views,1
9476679,44409,20230601,views,1
9476680,44771,20230601,views,1
9476681,31267,20230601,views,1
9476682,38583,20230601,views,1
9476683,40828,20230601,views,1
9476684,43915,20230601,views,1
9476685,18257,20230601,views,1
9476686,8914,20230601,views,1
9476687,21439,20230601,views,1
9476688,35860,20230601,views,1
9476689,22565,20230601,views,1
9476690,42782,20230601,views,2
9476691,30461,20230601,views,3
9476692,28908,20230601,views,1
9476693,14403,20230601,views,4
9476694,32549,20230601,views,1
9476695,37405,20230601,views,1
9476696,34009,20230601,views,1
9476697,35425,20230601,views,2
9476698,34105,20230601,views,1
9476699,38214,20230601,views,1
9476700,23602,20230601,views,1
9476701,43847,20230601,views,1
9476702,28513,20230601,views,1
9476703,6342,20230601,views,3
9476704,21525,20230601,views,1
9476705,36248,20230601,views,1
9476706,43178,20230601,views,1
9476707,42711,20230601,views,1
9476708,37758,20230601,views,2
9476709,34168,20230601,views,2
9476710,34280,20230601,views,2
9476711,42133,20230601,views,1
9476712,28694,20230601,views,1
9476713,6766,20230601,views,1
9476714,7515,20230601,views,1
9476715,34470,20230601,views,1
9476716,40283,20230601,views,1
9476717,24789,20230601,views,1
9476718,32662,20230601,views,1
9476719,44392,20230601,views,2
9476720,19730,20230601,views,1
9476721,40415,20230601,views,1
9476722,42374,20230601,views,1
9476723,32677,20230601,views,1
9476724,8073,20230601,views,1
9476725,39855,20230601,views,1
9476726,35737,20230601,views,1
9476727,35356,20230601,views,1
9476728,7123,20230601,views,5
9476729,44605,20230601,views,1
9476730,44477,20230601,views,2
9476731,37242,20230601,views,2
9476732,30319,20230601,views,2
9476733,44131,20230601,views,1
9476734,8380,20230601,views,1
9476735,6156,20230601,views,1
9476736,37851,20230601,views,1
9476737,37663,20230601,views,1
9476738,44544,20230601,views,1
9476739,22815,20230601,views,3
9476740,16232,20230601,views,3
9476741,44491,20230601,views,1
9476742,10134,20230601,views,1
9476743,44765,20230601,views,1
9476744,42798,20230601,views,1
9476745,27438,20230601,views,1
9476746,44854,20230601,views,1
9476747,44705,20230601,views,1
9476748,35815,20230601,views,1
9476749,42614,20230601,views,1
9476750,40973,20230601,views,1
9476751,36404,20230601,views,1
9476752,9772,20230601,views,1
9476753,44412,20230601,views,1
9476754,21179,20230601,views,5
9476755,30646,20230601,views,1
9476756,42865,20230601,views,1
9476757,44590,20230601,views,1
9476758,26172,20230601,views,1
9476759,27321,20230601,views,1
9476760,39960,20230601,views,1
9476761,44822,20230601,views,1
9476762,37146,20230601,views,1
9476763,6499,20230601,views,1
9476764,36910,20230601,views,1
9476765,10324,20230601,views,1
9476766,42014,20230601,views,1
9476767,44633,20230601,views,1
9476768,44793,20230601,views,2
9476769,27901,20230601,views,1
9476770,38271,20230601,views,1
9476771,44062,20230601,views,1
9476772,10440,20230601,views,1
9476773,31664,20230601,views,3
9476774,44383,20230601,views,1
9476775,44441,20230601,views,1
9476776,10448,20230601,views,5
9476777,42299,20230601,views,1
9476778,43613,20230601,views,1
9476779,40811,20230601,views,1
9476780,10415,20230601,views,1
9476781,44644,20230601,views,1
9476782,40805,20230601,views,2
9476783,8681,20230601,views,1
9476784,35715,20230601,views,1
9476785,10020,20230601,views,3
9476786,40652,20230601,views,1
9476787,25270,20230601,views,1
9476788,42308,20230601,views,1
9476789,42151,20230601,views,1
9476790,44772,20230601,views,1
9476791,42439,20230601,views,1
9476792,37234,20230601,views,1
9476793,23850,20230601,views,1
9476794,44552,20230601,views,1
9476795,8849,20230601,views,3
9476796,32711,20230601,views,1
9476797,9960,20230601,views,5
9476798,34978,20230601,views,1
9476799,8848,20230601,views,1
9476800,18375,20230601,views,1
9476801,38567,20230601,views,1
9476802,8634,20230601,views,1
9476803,44462,20230601,views,1
9476804,43840,20230601,views,1
9476805,5809,20230601,views,2
9476806,12932,20230601,views,3
9476807,28756,20230601,views,1
9476808,17351,20230601,views,1
9476809,34884,20230601,views,1
9476810,19155,20230601,views,1
9476811,44526,20230601,views,1
9476812,30199,20230601,views,1
9476813,40929,20230601,views,1
9476814,9342,20230601,views,2
9476815,44755,20230601,views,1
9476816,35419,20230601,views,1
9476817,16516,20230601,views,1
9476818,39819,20230601,views,1
9476819,29055,20230601,views,1
9476820,44698,20230601,views,1
9476821,6889,20230601,views,1
9476822,5023,20230601,views,1
9476823,10015,20230601,views,1
9476824,41483,20230601,views,2
9476825,43843,20230601,views,1
9476826,28325,20230601,views,2
9476827,40446,20230601,views,2
9476828,44520,20230601,views,2
9476829,38849,20230601,views,2
9476830,2713,20230601,views,1
9476831,34068,20230601,views,1
9476832,40655,20230601,views,1
9476833,39650,20230601,views,1
9476834,44377,20230601,views,1
9476835,44188,20230601,views,2
9476836,21249,20230601,views,3
9476837,14005,20230601,views,10
9476838,29219,20230601,views,3
9476839,23413,20230601,views,2
9476840,7227,20230601,views,1
9476841,22852,20230601,views,1
9476842,6743,20230601,views,1
9476843,30894,20230601,views,2
9476844,44827,20230601,views,1
9476845,43579,20230601,views,1
9476846,40773,20230601,views,1
9476847,42027,20230601,views,1
9476848,27858,20230601,views,5
9476849,22999,20230601,views,1
9476850,8723,20230601,views,3
9476851,26031,20230601,views,1
9476852,17644,20230601,views,4
9476853,42461,20230601,views,1
9476854,34579,20230601,views,1
9476855,6871,20230601,views,2
9476856,30301,20230601,views,1
9476857,38625,20230601,views,2
9476858,20187,20230601,views,1
9476859,44471,20230601,views,1
9476860,7256,20230601,views,1
9476861,7071,20230601,views,2
9476862,10026,20230601,views,1
9476863,6645,20230601,views,1
9476864,38463,20230601,views,1
9476865,34319,20230601,views,1
9476866,43917,20230601,views,2
9476867,44818,20230601,views,1
9476868,40518,20230601,views,1
9476869,7478,20230601,views,1
9476870,38293,20230601,views,1
9476871,18777,20230601,views,1
9476872,4039,20230601,views,1
9476873,39489,20230601,views,1
9476874,19441,20230601,views,1
9476875,11951,20230601,views,1
9476876,22594,20230601,views,2
9476877,44080,20230601,views,3
9476878,6899,20230601,views,1
9476879,40989,20230601,views,1
9476880,7219,20230601,views,1
9476881,44422,20230601,views,1
9476882,24428,20230601,views,2
9476883,4894,20230601,views,1
9476884,40596,20230601,views,1
9476885,24674,20230601,views,2
9476886,40141,20230601,views,1
9476887,40489,20230601,views,1
9476888,39735,20230601,views,1
9476889,40345,20230601,views,1
9476890,41577,20230601,views,1
9476891,34333,20230601,views,1
9476892,44463,20230601,views,3
9476893,37268,20230601,views,1
9476894,9535,20230601,views,1
9476895,34144,20230601,views,1
9476896,44666,20230601,views,1
9476897,34558,20230601,views,1
9476898,8066,20230601,views,5
9476899,34042,20230601,views,1
9476900,33500,20230601,views,1
9476901,7555,20230601,views,1
9476902,44516,20230601,views,1
9476903,6698,20230601,views,2
9476904,22688,20230601,views,1
9476905,32804,20230601,views,1
9476906,38147,20230601,views,1
9476907,42307,20230601,views,1
9476908,44768,20230601,views,1
9476909,28378,20230601,views,2
9476910,6179,20230601,views,1
9476911,43953,20230601,views,1
9476912,41523,20230601,views,1
9476913,20423,20230601,views,1
9476914,44820,20230601,views,1
9476915,43386,20230601,views,1
9476916,44707,20230601,views,1
9476917,44802,20230601,views,1
9476918,32140,20230601,views,2
9476919,41800,20230601,views,1
9476920,13247,20230601,views,1
9476921,8348,20230601,views,1
9476922,20229,20230601,views,1
9476923,23619,20230601,views,3
9476924,44787,20230601,views,1
9476925,44056,20230601,views,1
9476926,36347,20230601,views,1
9476927,39312,20230601,views,1
9476928,16838,20230601,views,1
9476929,26396,20230601,views,1
9476930,44551,20230601,views,1
9476931,44846,20230601,views,1
9476932,17881,20230601,views,1
9476933,44474,20230601,views,1
9476934,40218,20230601,views,2
9476935,43616,20230601,views,1
9476936,19721,20230601,views,1
9476937,18906,20230601,views,1
9476938,12706,20230601,views,5
9476939,6471,20230601,views,1
9476940,23013,20230601,views,7
9476941,36400,20230601,views,1
9476942,8830,20230601,views,2
9476943,44745,20230601,views,1
9476944,44816,20230601,views,1
9476945,28611,20230601,views,1
9476946,32422,20230601,views,1
9476947,41937,20230601,views,2
9476948,6660,20230601,views,1
9476949,18061,20230601,views,4
9476950,7189,20230601,views,1
9476951,34355,20230601,views,1
9476952,21360,20230601,views,3
9476953,44788,20230601,views,1
9476954,7067,20230601,views,1
9476955,21063,20230601,views,3
9476956,9914,20230601,views,1
9476957,33596,20230601,views,1
9476958,24301,20230601,views,1
9476959,36690,20230601,views,1
9476960,40908,20230601,views,1
9476961,9673,20230601,views,1
9476962,40371,20230601,views,1
9476963,44568,20230601,views,1
9476964,33891,20230601,views,1
9476965,10185,20230601,views,1
9476966,43453,20230601,views,1
9476967,25447,20230601,views,1
9476968,44555,20230601,views,1
9476969,11153,20230601,views,1
9476970,44775,20230601,views,1
9476971,26709,20230601,views,1
9476972,23107,20230601,views,1
9476973,39690,20230601,views,1
9476974,6742,20230601,views,1
9476975,38576,20230601,views,1
9476976,14783,20230601,views,1
9476977,25529,20230601,views,1
9476978,10484,20230601,views,1
9476979,9195,20230601,views,2
9476980,44159,20230601,views,1
9476981,35908,20230601,views,1
9476982,35925,20230601,views,5
9476983,7451,20230601,views,1
9476984,11954,20230601,views,1
9476985,40464,20230601,views,1
9476986,7884,20230601,views,3
9476987,18416,20230601,views,1
9476988,10833,20230601,views,6
9476989,42226,20230601,views,1
9476990,40479,20230601,views,2
9476991,42676,20230601,views,1
9476992,28293,20230601,views,5
9476993,44288,20230601,views,2
9476994,44385,20230601,views,1
9476995,24331,20230601,views,1
9476996,44675,20230601,views,1
9476997,18446,20230601,views,1
9476998,34417,20230601,views,1
9476999,7187,20230601,views,1
9477000,31080,20230601,views,1
9477001,43188,20230601,views,1
9477002,34062,20230601,views,1
9477003,44438,20230601,views,1
9477004,7334,20230601,views,2
9477005,12695,20230601,views,1
9477006,43596,20230601,views,1
9477007,44410,20230601,views,1
9477008,42305,20230601,views,1
9477009,41522,20230601,views,1
9477010,18479,20230601,views,1
9477011,39683,20230601,views,1
9477012,43700,20230601,views,2
9477013,44442,20230601,views,3
9477014,44464,20230601,views,1
9477015,43257,20230601,views,1
9477016,8315,20230601,views,4
9477017,9541,20230601,views,1
9477018,44435,20230601,views,1
9477019,17844,20230601,views,3
9477020,34059,20230601,views,1
9477021,34541,20230601,views,1
9477022,25901,20230601,views,1
9477023,42612,20230601,views,1
9477024,10386,20230601,views,1
9477025,27464,20230601,views,1
9477026,41972,20230601,views,1
9477027,39512,20230601,views,1
9477028,44712,20230601,views,3
9477029,40895,20230601,views,1
9477030,44051,20230601,views,1
9477031,39326,20230601,views,1
9477032,7850,20230601,views,1
9477033,41761,20230601,views,1
9477034,43969,20230601,views,2
9477035,44679,20230601,views,2
9477036,34408,20230601,views,1
9477037,33932,20230601,views,1
9477038,27995,20230601,views,1
9477039,42717,20230601,views,1
9477040,41388,20230601,views,1
9477041,8056,20230601,views,10
9477042,8509,20230601,views,2
9477043,29756,20230601,views,1
9477044,35391,20230601,views,2
9477045,25302,20230601,views,4
9477046,44554,20230601,views,1
9477047,44702,20230601,views,1
9477048,21078,20230601,views,1
9477049,28224,20230601,views,2
9477050,44517,20230601,views,1
9477051,37906,20230601,views,1
9477052,12133,20230601,views,1
9477053,8772,20230601,views,1
9477054,39370,20230601,views,1
9477055,35848,20230601,views,5
9477056,34944,20230601,views,1
9477057,26138,20230601,views,1
9477058,42900,20230601,views,1
9477059,9146,20230601,views,1
9477060,44801,20230601,views,1
9477061,27854,20230601,views,1
9477062,10935,20230601,views,2
9477063,9393,20230601,views,1
9477064,33203,20230601,views,1
9477065,42721,20230601,views,1
9477066,42132,20230601,views,1
9477067,44870,20230601,views,1
9477068,28166,20230601,views,1
9477069,35424,20230601,views,1
9477070,14167,20230601,views,2
9477071,6634,20230601,views,4
9477072,44589,20230601,views,1
9477073,8695,20230601,views,1
9477074,44659,20230601,views,1
9477075,7844,20230601,views,7
9477076,21367,20230601,views,2
9477077,44668,20230601,views,1
9477078,35560,20230601,views,1
9477079,10746,20230601,views,1
9477080,44862,20230601,views,1
9477081,44866,20230601,views,1
9477082,44220,20230601,views,2
9477083,44776,20230601,views,1
9477084,12951,20230601,views,2
9477085,44415,20230601,views,3
9477086,18660,20230601,views,3
9477087,26333,20230601,views,1
9477088,44502,20230601,views,2
9477089,44750,20230601,views,1
9477090,44248,20230601,views,1
9477091,44797,20230601,views,1
9477092,19439,20230601,views,1
9477093,22130,20230601,views,2
9477094,7544,20230601,views,1
9477095,44832,20230601,views,3
9477096,34363,20230601,views,1
9477097,13257,20230601,views,1
9477098,26544,20230601,views,1
9477099,43646,20230601,views,1
9477100,31830,20230601,views,1
9477101,13446,20230601,views,1
9477102,44603,20230601,views,1
9477103,44782,20230601,views,1
9477104,44727,20230601,views,1
9477105,18286,20230601,views,1
9477106,32531,20230601,views,1
9477107,21113,20230601,views,1
9477108,36166,20230601,views,2
9477109,43895,20230601,views,2
9477110,9419,20230601,views,1
9477111,38362,20230601,views,2
9477112,10090,20230601,views,1
9477113,34079,20230601,views,1
9477114,41702,20230601,views,1
9477115,20882,20230601,views,2
9477116,5977,20230601,views,2
9477117,19933,20230601,views,1
9477118,33114,20230601,views,1
9477119,40988,20230601,views,1
9477120,35405,20230601,views,4
9477121,25158,20230601,views,3
9477122,40721,20230601,views,1
