uid,eprintid,datestamp,value,count
9890058,27184,20230601,downloads,1
9890059,14151,20230601,downloads,2
9890060,6189,20230601,downloads,1
9890061,11669,20230601,downloads,1
9890062,14437,20230601,downloads,1
9890063,44755,20230601,downloads,1
9890064,17862,20230601,downloads,2
9890065,40644,20230601,downloads,1
9890066,25352,20230601,downloads,2
9890067,29966,20230601,downloads,2
9890068,29798,20230601,downloads,2
9890069,25333,20230601,downloads,2
9890070,15904,20230601,downloads,2
9890071,8483,20230601,downloads,1
9890072,9986,20230601,downloads,1
9890073,30128,20230601,downloads,1
9890074,18914,20230601,downloads,1
9890075,39234,20230601,downloads,1
9890076,37081,20230601,downloads,1
9890077,39517,20230601,downloads,1
9890078,24848,20230601,downloads,1
9890079,35369,20230601,downloads,1
9890080,15782,20230601,downloads,1
9890081,10524,20230601,downloads,1
9890082,12501,20230601,downloads,2
9890083,18861,20230601,downloads,1
9890084,13531,20230601,downloads,1
9890085,39453,20230601,downloads,1
9890086,38867,20230601,downloads,2
9890087,29822,20230601,downloads,2
9890088,10356,20230601,downloads,1
9890089,13170,20230601,downloads,1
9890090,11941,20230601,downloads,1
9890091,29923,20230601,downloads,2
9890092,10818,20230601,downloads,1
9890093,42885,20230601,downloads,1
9890094,33198,20230601,downloads,1
9890095,38625,20230601,downloads,1
9890096,14174,20230601,downloads,2
9890097,30131,20230601,downloads,1
9890098,39080,20230601,downloads,1
9890099,14153,20230601,downloads,2
9890100,29832,20230601,downloads,2
9890101,22950,20230601,downloads,1
9890102,44818,20230601,downloads,1
9890103,25546,20230601,downloads,1
9890104,39885,20230601,downloads,1
9890105,39489,20230601,downloads,1
9890106,31355,20230601,downloads,2
9890107,15810,20230601,downloads,1
9890108,2689,20230601,downloads,1
9890109,8197,20230601,downloads,1
9890110,19441,20230601,downloads,1
9890111,22594,20230601,downloads,1
9890112,17435,20230601,downloads,2
9890113,11855,20230601,downloads,1
9890114,12144,20230601,downloads,1
9890115,16233,20230601,downloads,2
9890116,7388,20230601,downloads,1
9890117,28187,20230601,downloads,1
9890118,43745,20230601,downloads,1
9890119,15987,20230601,downloads,1
9890120,13545,20230601,downloads,1
9890121,7886,20230601,downloads,1
9890122,43758,20230601,downloads,1
9890123,33795,20230601,downloads,1
9890124,44666,20230601,downloads,3
9890125,23395,20230601,downloads,2
9890126,36219,20230601,downloads,1
9890127,7245,20230601,downloads,1
9890128,13447,20230601,downloads,2
9890129,29853,20230601,downloads,2
9890130,29049,20230601,downloads,1
9890131,43290,20230601,downloads,1
9890132,42805,20230601,downloads,1
9890133,27036,20230601,downloads,2
9890134,38147,20230601,downloads,1
9890135,6179,20230601,downloads,1
9890136,13502,20230601,downloads,1
9890137,9560,20230601,downloads,2
9890138,13038,20230601,downloads,1
9890139,19065,20230601,downloads,1
9890140,29128,20230601,downloads,1
9890141,15565,20230601,downloads,1
9890142,13247,20230601,downloads,1
9890143,10639,20230601,downloads,1
9890144,16769,20230601,downloads,1
9890145,29316,20230601,downloads,1
9890146,11849,20230601,downloads,1
9890147,11977,20230601,downloads,1
9890148,20470,20230601,downloads,2
9890149,44056,20230601,downloads,1
9890150,40916,20230601,downloads,1
9890151,19000,20230601,downloads,1
9890152,8248,20230601,downloads,1
9890153,21727,20230601,downloads,1
9890154,37618,20230601,downloads,2
9890155,22947,20230601,downloads,1
9890156,16058,20230601,downloads,2
9890157,5650,20230601,downloads,1
9890158,30883,20230601,downloads,1
9890159,9611,20230601,downloads,1
9890160,15895,20230601,downloads,2
9890161,12084,20230601,downloads,1
9890162,29959,20230601,downloads,2
9890163,17420,20230601,downloads,2
9890164,38846,20230601,downloads,1
9890165,13467,20230601,downloads,1
9890166,21360,20230601,downloads,1
9890167,21114,20230601,downloads,1
9890168,9230,20230601,downloads,1
9890169,21063,20230601,downloads,1
9890170,4711,20230601,downloads,1
9890171,34235,20230601,downloads,1
9890172,13636,20230601,downloads,1
9890173,29883,20230601,downloads,2
9890174,22408,20230601,downloads,1
9890175,11999,20230601,downloads,1
9890176,6389,20230601,downloads,1
9890177,33891,20230601,downloads,1
9890178,13571,20230601,downloads,1
9890179,12397,20230601,downloads,2
9890180,7540,20230601,downloads,1
9890181,31100,20230601,downloads,1
9890182,17865,20230601,downloads,2
9890183,16063,20230601,downloads,2
9890184,11839,20230601,downloads,1
9890185,15642,20230601,downloads,1
9890186,10473,20230601,downloads,1
9890187,11908,20230601,downloads,1
9890188,11954,20230601,downloads,2
9890189,44649,20230601,downloads,1
9890190,11610,20230601,downloads,1
9890191,35050,20230601,downloads,1
9890192,16955,20230601,downloads,1
9890193,38871,20230601,downloads,2
9890194,10187,20230601,downloads,1
9890195,32632,20230601,downloads,1
9890196,44675,20230601,downloads,1
9890197,21955,20230601,downloads,2
9890198,16991,20230601,downloads,2
9890199,34417,20230601,downloads,1
9890200,15901,20230601,downloads,2
9890201,22954,20230601,downloads,1
9890202,27602,20230601,downloads,2
9890203,6715,20230601,downloads,1
9890204,13439,20230601,downloads,1
9890205,39097,20230601,downloads,1
9890206,27954,20230601,downloads,1
9890207,42681,20230601,downloads,1
9890208,29220,20230601,downloads,2
9890209,27009,20230601,downloads,2
9890210,35090,20230601,downloads,2
9890211,37689,20230601,downloads,1
9890212,44254,20230601,downloads,1
9890213,19533,20230601,downloads,2
9890214,7209,20230601,downloads,1
9890215,16319,20230601,downloads,1
9890216,27599,20230601,downloads,1
9890217,8969,20230601,downloads,2
9890218,10876,20230601,downloads,1
9890219,7341,20230601,downloads,1
9890220,35664,20230601,downloads,1
9890221,44712,20230601,downloads,1
9890222,35007,20230601,downloads,1
9890223,34907,20230601,downloads,1
9890224,17858,20230601,downloads,1
9890225,17796,20230601,downloads,1
9890226,12016,20230601,downloads,1
9890227,39558,20230601,downloads,1
9890228,32663,20230601,downloads,2
9890229,40801,20230601,downloads,1
9890230,18036,20230601,downloads,2
9890231,8019,20230601,downloads,1
9890232,16878,20230601,downloads,1
9890233,44917,20230601,downloads,3
9890234,15771,20230601,downloads,1
9890235,20959,20230601,downloads,1
9890236,15880,20230601,downloads,2
9890237,14141,20230601,downloads,2
9890238,44801,20230601,downloads,1
9890239,12130,20230601,downloads,1
9890240,12449,20230601,downloads,1
9890241,10465,20230601,downloads,1
9890242,17679,20230601,downloads,2
9890243,35104,20230601,downloads,1
9890244,15564,20230601,downloads,2
9890245,34413,20230601,downloads,2
9890246,40553,20230601,downloads,1
9890247,31731,20230601,downloads,1
9890248,7630,20230601,downloads,1
9890249,20141,20230601,downloads,1
9890250,10974,20230601,downloads,1
9890251,43683,20230601,downloads,1
9890252,12019,20230601,downloads,1
9890253,11767,20230601,downloads,2
9890254,11793,20230601,downloads,1
9890255,12319,20230601,downloads,1
9890256,13226,20230601,downloads,1
9890257,13171,20230601,downloads,1
9890258,20255,20230601,downloads,1
9890259,7448,20230601,downloads,1
9890260,22686,20230601,downloads,1
9890261,10572,20230601,downloads,1
9890262,7922,20230601,downloads,3
9890263,17856,20230601,downloads,2
9890264,16808,20230601,downloads,1
9890265,36924,20230601,downloads,1
9890266,44220,20230601,downloads,1
9890267,13497,20230601,downloads,1
9890268,9995,20230601,downloads,1
9890269,29915,20230601,downloads,2
9890270,39623,20230601,downloads,1
9890271,34376,20230601,downloads,1
9890272,4222,20230601,downloads,1
9890273,26333,20230601,downloads,1
9890274,6230,20230601,downloads,1
9890275,7234,20230601,downloads,1
9890276,13326,20230601,downloads,1
9890277,29879,20230601,downloads,2
9890278,7617,20230601,downloads,1
9890279,19005,20230601,downloads,2
9890280,6211,20230601,downloads,1
9890281,43140,20230601,downloads,1
9890282,22466,20230601,downloads,2
9890283,42159,20230601,downloads,1
9890284,13560,20230601,downloads,1
9890285,17123,20230601,downloads,1
9890286,13649,20230601,downloads,1
9890287,13611,20230601,downloads,1
9890288,29871,20230601,downloads,2
9890289,11642,20230601,downloads,1
9890290,10649,20230601,downloads,1
9890291,13446,20230601,downloads,1
9890292,41860,20230601,downloads,2
9890293,2698,20230601,downloads,1
9890294,11764,20230601,downloads,1
9890295,27017,20230601,downloads,1
9890296,13681,20230601,downloads,1
9890297,9031,20230601,downloads,1
9890298,24817,20230601,downloads,2
9890299,12388,20230601,downloads,1
9890300,32531,20230601,downloads,2
9890301,10875,20230601,downloads,1
9890302,29863,20230601,downloads,3
9890303,14140,20230601,downloads,2
9890304,13541,20230601,downloads,1
9890305,17091,20230601,downloads,2
9890306,16528,20230601,downloads,1
9890307,26083,20230601,downloads,1
9890308,13496,20230601,downloads,1
9890309,13433,20230601,downloads,1
9890310,28733,20230601,downloads,1
9890311,11545,20230601,downloads,1
9890312,43566,20230601,downloads,1
9890313,13261,20230601,downloads,1
9890314,7512,20230601,downloads,1
9890315,32427,20230601,downloads,1
9890316,41049,20230601,downloads,1
9890317,29567,20230601,downloads,1
9890318,38843,20230601,downloads,1
9890319,29881,20230601,downloads,2
9890320,40178,20230601,downloads,1
9890321,11446,20230601,downloads,2
9890322,44806,20230601,downloads,1
9890323,8781,20230601,downloads,1
9890324,9710,20230601,downloads,1
9890325,42660,20230601,downloads,1
9890326,7305,20230601,downloads,1
9890327,20957,20230601,downloads,1
9890328,37419,20230601,downloads,1
9890329,25146,20230601,downloads,2
9890330,41191,20230601,downloads,1
9890331,29878,20230601,downloads,2
9890332,12145,20230601,downloads,1
9890333,12000,20230601,downloads,1
9890334,20863,20230601,downloads,1
9890335,16404,20230601,downloads,1
9890336,6597,20230601,downloads,1
9890337,35368,20230601,downloads,1
9890338,12722,20230601,downloads,1
9890339,6393,20230601,downloads,1
9890340,11939,20230601,downloads,1
9890341,23230,20230601,downloads,1
9890342,44627,20230601,downloads,1
9890343,29952,20230601,downloads,2
9890344,23091,20230601,downloads,2
9890345,26017,20230601,downloads,3
9890346,14354,20230601,downloads,1
9890347,43747,20230601,downloads,1
9890348,16523,20230601,downloads,2
9890349,9680,20230601,downloads,1
9890350,6185,20230601,downloads,1
9890351,13811,20230601,downloads,1
9890352,12717,20230601,downloads,2
9890353,43217,20230601,downloads,1
9890354,26747,20230601,downloads,1
9890355,42457,20230601,downloads,1
9890356,36531,20230601,downloads,1
9890357,13225,20230601,downloads,2
9890358,33922,20230601,downloads,1
9890359,12453,20230601,downloads,1
9890360,6589,20230601,downloads,1
9890361,29856,20230601,downloads,2
9890362,37285,20230601,downloads,1
9890363,29794,20230601,downloads,2
9890364,12026,20230601,downloads,1
9890365,10312,20230601,downloads,1
9890366,34937,20230601,downloads,1
9890367,44686,20230601,downloads,1
9890368,14178,20230601,downloads,2
9890369,11949,20230601,downloads,1
9890370,21695,20230601,downloads,2
9890371,39587,20230601,downloads,1
9890372,31013,20230601,downloads,1
9890373,8137,20230601,downloads,1
9890374,16996,20230601,downloads,1
9890375,12485,20230601,downloads,1
9890376,11917,20230601,downloads,5
9890377,7948,20230601,downloads,7
9890378,15896,20230601,downloads,2
9890379,19365,20230601,downloads,2
9890380,10482,20230601,downloads,1
9890381,31156,20230601,downloads,1
9890382,11378,20230601,downloads,1
9890383,40477,20230601,downloads,1
9890384,18028,20230601,downloads,2
9890385,18858,20230601,downloads,1
9890386,28394,20230601,downloads,2
9890387,13573,20230601,downloads,1
9890388,19786,20230601,downloads,1
9890389,11164,20230601,downloads,1
9890390,14147,20230601,downloads,2
9890391,14465,20230601,downloads,1
9890392,36110,20230601,downloads,1
9890393,39769,20230601,downloads,1
9890394,29132,20230601,downloads,2
9890395,10937,20230601,downloads,1
9890396,10758,20230601,downloads,1
9890397,24123,20230601,downloads,1
9890398,16454,20230601,downloads,1
9890399,44888,20230601,downloads,1
9890400,43493,20230601,downloads,1
9890401,28559,20230601,downloads,1
9890402,28174,20230601,downloads,2
9890403,16321,20230601,downloads,1
9890404,39223,20230601,downloads,1
9890405,30158,20230601,downloads,2
9890406,26143,20230601,downloads,1
9890407,14092,20230601,downloads,1
9890408,12405,20230601,downloads,2
9890409,39036,20230601,downloads,1
9890410,44815,20230601,downloads,1
9890411,13619,20230601,downloads,1
9890412,29813,20230601,downloads,2
9892180,13499,20230601,downloads,1
9892181,29784,20230601,downloads,2
9892182,40862,20230601,downloads,1
9892183,18512,20230601,downloads,3
9892184,36739,20230601,downloads,1
9892185,11276,20230601,downloads,1
9892186,11870,20230601,downloads,1
9892187,12637,20230601,downloads,1
9892188,5887,20230601,downloads,1
9892189,19756,20230601,downloads,1
9892190,44440,20230601,downloads,1
9892191,16030,20230601,downloads,1
9892192,40975,20230601,downloads,1
9892193,18122,20230601,downloads,1
9892194,20998,20230601,downloads,1
9892195,18990,20230601,downloads,1
9892196,16355,20230601,downloads,2
9892197,14157,20230601,downloads,2
9892198,44912,20230601,downloads,2
9892199,21836,20230601,downloads,1
9892200,42292,20230601,downloads,1
9892201,11698,20230601,downloads,1
9892202,37725,20230601,downloads,1
9892203,29516,20230601,downloads,5
9892204,16043,20230601,downloads,1
9892205,39508,20230601,downloads,1
9892206,34716,20230601,downloads,1
9892207,20126,20230601,downloads,1
9892208,12439,20230601,downloads,1
9892209,12488,20230601,downloads,1
9892210,35254,20230601,downloads,1
9892211,20503,20230601,downloads,1
9892212,16115,20230601,downloads,1
9892213,20689,20230601,downloads,1
9892214,31359,20230601,downloads,1
9892215,20047,20230601,downloads,2
9892216,44481,20230601,downloads,1
9892217,18234,20230601,downloads,1
9892218,5880,20230601,downloads,3
9892219,7337,20230601,downloads,1
9892220,32578,20230601,downloads,1
9892221,24251,20230601,downloads,1
